title;avaliacao;valor;descricao;numero;endereco
RIBEIRAO PRETO - RESERVA REAL;Valor de avaliação: R$ 185.000,00;Valor mínimo de venda: R$ 111.816,50 ( desconto de 39,56%);Apartamento - 87,86 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770347723-8;RUA BENEDITO FRANCISCO,N. 655 Apto. 204 BL. 10,
RIBEIRAO PRETO - PALACIO DE WINDSOR;Valor de avaliação: R$ 147.000,00;Valor mínimo de venda: R$ 86.063,06 ( desconto de 41,45%);Apartamento - 98,86 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770646540-0;RUA BENEDITO FRANCISCO,N. 655 Apto. 101 BL 02, , RESERVA REAL
RIBEIRAO PRETO - PALACIO IMPERIAL;Valor de avaliação: R$ 172.000,00;Valor mínimo de venda: R$ 101.926,27 ( desconto de 40,74%);Apartamento - 80,32 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770195349-0;RUA JOAO E GUIOMAR SOEIRA,N. 155 Apto. 402 4 PAVIMENTO BL 10 VG N 180, , RESERVA REAL
RIBEIRAO PRETO - PALACIO IMPERIAL;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 80,32 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770387565-9;RUA JOAO E GUIOMAR SOEIRA,N. 155 Apto. 303 BL 68, , RESERVA REAL
RIBEIRAO PRETO - PALACIO IMPERIAL;Valor de avaliação: R$ 181.000,00;Valor mínimo de venda: R$ 107.259,62 ( desconto de 40,74%);Apartamento - 86,6 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770417803-0;RUA JOAO E GUIOMAR SOEIRA,N. 155 Apto. 101 BL50, , RESERVA REAL
RIBEIRAO PRETO - PALACIO IMPERIAL;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 93,96 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770736583-3;RUA JOAO E GUIOMAR SOEIRA,N. 155 Apto. 403 BL 72 VAGA 725 LT 01 QD 04, , RESERVA REAL
RIBEIRAO PRETO - Palacio Imperial;Valor de avaliação: R$ 146.000,00;Valor mínimo de venda: R$ 85.477,60 ( desconto de 41,45%);Apartamento - 92,82 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770823744-8;RUA JOAO E GUIOMAR SOEIRA,N. 155 Apto. 301 BL 17, , RESERVA REAL
RIBEIRAO PRETO - COND RESERVA DAS IRIS;Valor de avaliação: R$ 184.000,00;Valor mínimo de venda: R$ 111.212,08 ( desconto de 39,56%);Apartamento - 81,75 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771437704-3;R CLEUSA APARECIDA DA CUNHA JANUARIO,N. 180 Apto. 204 BL 04, , RESERVA SAO JOSE
RIBEIRAO PRETO - CONDOMINIO EDIFICIO PANAMA;Valor de avaliação: R$ 125.000,00;Valor mínimo de venda: R$ 72.910,85 ( desconto de 41,67%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;844440045896-0;RUA PASCHOAL SANTA MARIA,N. 540 Apto. 31 3° ANDAR, , RESIDENCIAL DAS AMERICAS
RIBEIRAO PRETO - UP 100 PALMARES;Valor de avaliação: R$ 252.000,00;Valor mínimo de venda: R$ 154.300,73 ( desconto de 38,77%);Apartamento - 86,84 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855554016638-6;R LUIZ CARLUCCI SOBRINHO,N. 100 Apto. 54, , RESIDENCIAL E COMERCIAL PALMARES
